group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
wind0,0,0,0,0,0,0,0
wind1,0,0,0,0,0,0,0
wind2,0,0,0,0,0,0,0
wind5,0,0,0,0,0,0,0
wind3,161.883,63.5044,0,0,4.9601,0.936172,16
wind4,0,0,0,0,0,0,0
beta,89.4969,80.088,0,0,0.331729,0.628901,0
diffusion_coefficient,11.4984,68.508,0,0,0.0939714,0.0334383,0
eruption_mass,0.0919184,91.4713,0,0,0.0160175,0.00136733,1
fall_time_threshold,24.5433,82.2022,0,0,0.230296,0.0543195,1
median_grainsize,8.63593,84.5974,0,0,0.60825,0.0862387,1
plume_height,0.468406,54.3758,0,0,0.0050599,0.0023194,0
std_grainsize,9.66562,58.1693,0,0,0.152294,0.0580907,0
