group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
wind0,0,0,0,0,0,0,0
wind1,0,0,0,0,0,0,0
wind2,0,0,0,0,0,0,0
wind5,0,0,0,0,0,0,0
wind3,157.054,58.4645,0,0,4.9601,1.57935,12
wind4,0,0,0,0,0,0,0
beta,74.3203,72.8112,0,0,0.331729,0.351224,0
diffusion_coefficient,12.6304,69.1903,0,0,0.0939714,0.0331377,0
eruption_mass,0.265817,84.59,0,0,0.0160175,0.00247486,1
fall_time_threshold,23.0002,77.1949,0,0,0.230296,0.0682071,1
median_grainsize,8.68433,79.6379,0,0,0.60825,0.135631,1
plume_height,0.584201,54.003,0,0,0.0050599,0.00234108,0
std_grainsize,14.4277,58.1589,0,0,0.152294,0.0556872,0
