group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
wind0,0,0,0,0,0,0,0
wind1,0,0,0,0,0,0,0
wind2,0,0,0,0,0,0,0
wind5,0,0,0,0,0,0,0
wind3,161.589,63.4967,0,0,4.9601,0.754167,15
wind4,0,0,0,0,0,0,0
beta,86.5598,78.7585,0,0,0.331729,0.524279,0
diffusion_coefficient,11.7962,70.6026,0,0,0.0939714,0.0313197,0
eruption_mass,0.114223,90.7775,0,0,0.0160175,0.0014789,1
fall_time_threshold,24.1134,82.4451,0,0,0.230296,0.0532748,1
median_grainsize,7.24068,84.9558,0,0,0.60825,0.0853278,1
plume_height,0.514254,54.5651,0,0,0.0050599,0.00231084,0
std_grainsize,10.6044,57.9679,0,0,0.152294,0.0578751,0
