real_name,mass_east:687065.4788_north:1463263.947,mass_east:688128.2578_north:1465335.321,mass_east:688645.4866_north:1467976.518,mass_east:688893.3636_north:1468603.156,mass_east:689018.9478_north:1468771.178,mass_east:689566.2899_north:1468142.227,mass_east:689990.5854_north:1465709.388,mass_east:689998.3193_north:1465052.028,mass_east:690192.1061_north:1469885.689,mass_east:690721.4336_north:1467926.473,mass_east:690862.0289_north:1470112.851,mass_east:691536.9571_north:1472268.609,mass_east:691761.1951_north:1472254.183,mass_east:692160.2298_north:1473177.647,mass_east:692193.98_north:1472953.2,mass_east:692320.9146_north:1470354.661,mass_east:692341.83_north:1473492.4,mass_east:692364.7132_north:1470367.143,mass_east:692531.9473_north:1470074.692,mass_east:692553.9683_north:1470044.157,mass_east:692556.9148_north:1474042.065,mass_east:692614.89_north:1473096.06,mass_east:692625.6287_north:1471812.114,mass_east:693237.55_north:1473027.71,mass_east:693307.83_north:1472882.83,mass_east:693883.83_north:1473125.85,mass_east:694377.36_north:1467140.62,mass_east:695371.19_north:1473577.85,mass_east:695655.19_north:1473710.47,mass_east:697897.37_north:1474135.59,mass_east:697934.47_north:1474070.69,mass_east:697994.98_north:1474063.94,mass_east:698119.03_north:1473992.05,mass_east:698174.92_north:1473965.36,mass_east:698193.14_north:1473787.02,mass_east:698366.88_north:1479093,mass_east:698388.54_north:1479093.16,mass_east:698414.01_north:1473663.84,mass_east:698421.15_north:1473650.61,mass_east:698637.1944_north:1479927.937,mass_east:699066.57_north:1473349.55,mass_east:699749.19_north:1478820.01,mass_east:700125.6119_north:1479352.578,mass_east:700383.6161_north:1472828.366,mass_east:700534.2473_north:1465200.142,mass_east:700608.11_north:1479002.79,mass_east:700951.9146_north:1479457.732,mass_east:701230.3042_north:1473607.164,mass_east:701236.78_north:1475734.54,mass_east:701403.2659_north:1474089.033,mass_east:701447.5679_north:1478796.18,mass_east:701979.8903_north:1474231.631,mass_east:702055.6754_north:1478553.709,mass_east:702329.8068_north:1477485.218,mass_east:702331.1537_north:1477050.524,mass_east:702349.4475_north:1472091.164,mass_east:702379.37_north:1474878.73,mass_east:702482.643_north:1470462.43,mass_east:702518.8983_north:1470461.695,mass_east:702524.6997_north:1464702.711,mass_east:702558.411_north:1475908.563,mass_east:702689.9009_north:1472997.564,mass_east:702691.3487_north:1464877.287,mass_east:702854.5674_north:1467466.96,mass_east:702936.0558_north:1474386.983,mass_east:703169.6307_north:1473542.173,mass_east:703507.349_north:1474766.077,mass_east:703540.6353_north:1472478.642,mass_east:703626.6524_north:1470324.906,mass_east:703634.9476_north:1470325.699,mass_east:703737.2128_north:1469459.118,mass_east:703741.109_north:1468505.821,mass_east:703894.7541_north:1465612.15,mass_east:703963.5297_north:1471311.749,mass_east:703986.7135_north:1466887.458,mass_east:703990.7543_north:1467265.652,mass_east:866800_north:1475343,mass_east:869966.27_north:1447717.22
0,3.95803,6.40898,12.596,15.1248,15.9876,14.096,7.46875,6.33558,24.5237,14.2422,28.3499,57.3167,59.556,77.1612,74.8719,36.1494,83.51,36.477,33.2834,32.9683,91.2921,83.5354,61.7263,93.9918,92.7524,109.913,11.9767,160.676,173.183,213.479,207.539,202.862,191.162,186.531,177.241,27.8164,27.7495,162.179,161.384,19.617,134.079,26.9308,20.9378,98.2264,7.41406,22.8425,18.5241,90.6454,70.7669,87.3584,22.5172,74.7218,22.8447,32.1246,37.2051,56.7024,63.1116,36.2672,36.0843,6.63437,49.3936,60.1386,6.92636,13.9766,57.2969,54.98,47.6238,46.3156,29.7407,29.7107,23.3293,17.9147,8.19927,35.1135,11.3442,12.5413,0.0125682,0.0120167
1,5.17469,8.20614,15.0658,17.7419,18.6749,17.1335,9.83892,8.4433,27.9153,17.9504,32.3768,58.5074,61.1009,76.108,74.6771,42.1686,81.6021,42.5656,39.6958,39.4125,87.9261,83.4988,66.112,95.5194,95.0223,113.185,16.0427,177.572,195.385,209.397,206.264,202.117,193.065,189.159,184.371,24.7788,24.6948,169.56,168.875,17.3381,137.841,22.4255,17.2667,98.5065,8.05927,18.4784,14.8874,87.8011,61.7556,82.8875,17.8942,70.156,18.0983,26.0838,30.676,56.3604,57.4779,36.6718,36.4791,6.95989,42.854,58.5002,7.24134,14.3549,53.1723,52.4851,43.4566,45.3122,29.922,29.8904,23.5945,18.2058,8.43342,34.9196,11.5959,12.7989,0.0111362,0.0109433
3,5.15809,8.20754,15.2959,18.0447,18.9865,17.195,9.63358,8.22895,28.1366,17.6618,32.3242,58.9162,61.2898,76.7961,75.0834,40.9996,82.5392,41.3515,38.3463,38.0473,89.4628,83.6556,64.8198,94.659,93.7041,111.397,14.7894,178.804,198.186,205.736,198.402,193,180.199,175.412,166.547,28.485,28.4159,152.354,151.632,19.6302,126.151,27.2439,20.9285,91.0537,6.62503,22.7856,18.35,87.8285,71.9606,86.3589,22.4171,74.7896,22.8607,32.7345,38.125,52.3219,64.4903,31.5041,31.3632,5.62431,51.0866,58.086,5.84555,11.6543,58.2837,54.6302,49.1547,44.391,26.2541,26.2323,20.1229,15.1521,6.80939,32.3387,9.44912,10.4737,0.0126807,0.0118694
5,5.10687,8.16907,15.6326,18.5183,19.4806,17.2897,9.36953,7.96649,28.5666,17.3755,32.4118,58.2046,60.0108,73.2222,71.6273,39.9729,77.6501,40.2859,37.33,37.0359,82.6244,77.8602,61.7187,85.2404,84.4552,97.0211,14.796,159.558,181.595,205.258,202.022,199.409,192.42,189.479,182.908,23.0383,23.0259,171.486,170.828,15.7519,145.091,25.4345,19.4792,103.964,8.68221,22.2032,17.7866,91.766,72.3735,87.3194,22.4463,72.9941,22.8298,31.9679,36.8368,57.4359,60.6132,38.3595,38.1296,7.62734,47.5376,58.7983,7.94053,15.6073,54.1881,52.3505,44.1987,44.8436,30.6254,30.5871,24.5295,19.2671,9.19163,34.8,12.4994,13.7356,0.00974264,0.0095708
6,5.7283,9.07606,16.9833,20.043,21.0829,18.9646,10.4903,8.94769,31.1194,19.2504,35.5952,64.8565,67.299,83.6414,81.8127,44.4364,89.4477,44.7903,41.3677,41.0248,96.1159,90.3619,70.1886,100.579,99.417,115.29,15.5298,164.554,177.144,203.486,196.96,192.712,182.052,178.086,169.664,26.45,26.3825,157.901,157.254,18.1501,134.791,25.0335,19.108,97.8001,7.68995,20.6134,16.5173,87.9924,65.6244,83.7715,19.8432,70.2353,19.8411,27.9536,32.5704,54.1795,57.8668,34.8966,34.7072,6.70009,44.0184,56.5995,6.97014,13.7113,52.4017,50.8213,42.7124,43.1764,28.299,28.2678,22.3396,17.2949,8.10571,32.97,11.0859,12.2153,0.0116698,0.0114738
7,5.33031,8.51954,16.0613,19.0047,20.0084,18.0173,9.99983,8.5339,29.7109,18.45,34.0612,62.0506,64.3116,79.8447,78.0156,42.8952,85.3636,43.2529,40.1243,39.814,91.9114,85.8665,67.0768,95.1815,94.1577,109.068,16.0058,163.245,179.537,221.816,215.127,210.256,198.703,194.354,186.351,24.931,24.861,173.279,172.618,16.9899,146.965,23.2109,17.5746,105.574,9.02512,18.8468,14.9985,89.7088,61.555,83.204,17.9112,68.5909,17.7482,25.0372,29.2968,57.9242,54.7412,39.5338,39.2881,7.89485,40.2749,57.6776,8.21927,16.1977,50.0926,50.1145,39.9533,44.2482,31.3579,31.3165,25.2695,19.9268,9.5103,35.0653,12.9405,14.2191,0.00833958,0.0084551
8,5.76235,9.17037,16.9158,19.9323,20.9836,19.2386,10.9666,9.38628,31.3396,20.0784,36.2471,65.3561,68.0487,84.8034,82.9445,46.4726,90.9618,46.8745,43.6487,43.328,98.477,91.8241,72.0405,101.952,100.793,115.587,17.1335,161.512,175.083,189.875,185.203,181.909,172.932,169.292,160.981,28.6225,28.526,148.049,147.311,19.7302,121.8,25.5831,19.3852,88.874,6.33048,20.4545,16.2586,85.4569,65.0046,82.9034,19.1393,70.9354,18.8661,26.8743,31.6347,51.1682,59.0295,30.055,29.9229,5.11202,44.1765,56.4312,5.29377,10.5884,54.0512,52.0824,44.3128,42.9742,25.0402,25.0202,18.8872,13.9684,6.08518,31.2261,8.51777,9.4823,0.00938172,0.00920229
10,5.45133,8.58255,15.4919,18.1879,19.1361,17.7148,10.4373,9.00582,28.5682,18.7955,33.196,59.3215,61.913,77.0755,75.5187,43.5373,82.6973,43.9548,41.251,40.9873,89.5076,84.0714,66.9148,95.0039,94.4006,110.648,17.8024,172.341,192.149,218.196,214.493,209.246,198.271,193.617,188.536,27.8636,27.7624,171.723,170.992,19.7524,137.916,24.4934,18.9507,95.9049,8.27584,19.9034,16.0826,84.6191,61.1015,80.0464,18.831,67.3475,18.7094,26.231,30.5868,53.0616,55.3462,34.476,34.2784,6.85921,41.7777,55.1379,7.10262,13.7057,50.6275,49.4684,41.3502,42.2723,27.782,27.7505,21.94,17.0153,8.04774,32.3394,10.934,12.0315,0.010122,0.00984314
11,4.69248,7.5807,14.9331,17.877,18.8607,16.4913,8.64789,7.31887,28.289,16.3813,32.2402,62.8192,64.8974,82.4416,80.1007,39.7912,88.5966,40.1085,36.6164,36.2687,95.9264,88.3869,66.1073,98.2393,96.8827,113.555,13.0066,161.552,172.75,207.409,203.7,201.142,193.584,190.358,182.455,25.6706,25.6201,169.617,168.843,17.6693,139.517,25.3035,19.3957,98.581,7.58111,21.1968,17.0392,89.1862,67.5909,85.1612,20.7052,71.8377,20.8577,29.3948,34.1639,55.6437,59.6561,36.0533,35.8666,6.79262,45.8313,58.2173,7.08877,14.1672,54.1852,52.5357,44.486,44.7507,29.4302,29.3988,23.2594,18.0017,8.36732,34.296,11.5111,12.6986,0.0111119,0.0108412
13,5.25901,8.43789,15.8202,18.6575,19.6298,17.8202,9.92405,8.4519,29.0688,18.3595,33.4435,59.0111,61.4082,74.7538,73.6177,42.6241,79.3465,42.9936,40.027,39.7314,84.021,81.3753,65.6613,91.7337,91.2841,106.527,15.7454,161.73,177.245,213.093,207.512,203.853,194.207,190.522,182.293,23.0409,23.0271,170.894,170.265,15.5647,148.81,25.2948,19.1262,111.327,8.23488,21.7139,17.2131,98.0509,72.2852,92.104,21.6003,76.4939,21.6978,30.4131,35.2396,62.0238,61.8797,40.4926,40.2612,7.25192,46.6494,63.1896,7.57199,15.4846,56.1369,55.5148,44.9865,48.2106,32.4721,32.433,25.612,19.727,8.94662,37.3493,12.4322,13.7572,0.00844741,0.00849021
