real_name,mass_east:687065.4788_north:1463263.947,mass_east:688128.2578_north:1465335.321,mass_east:688645.4866_north:1467976.518,mass_east:688893.3636_north:1468603.156,mass_east:689018.9478_north:1468771.178,mass_east:689566.2899_north:1468142.227,mass_east:689990.5854_north:1465709.388,mass_east:689998.3193_north:1465052.028,mass_east:690192.1061_north:1469885.689,mass_east:690721.4336_north:1467926.473,mass_east:690862.0289_north:1470112.851,mass_east:691536.9571_north:1472268.609,mass_east:691761.1951_north:1472254.183,mass_east:692160.2298_north:1473177.647,mass_east:692193.98_north:1472953.2,mass_east:692320.9146_north:1470354.661,mass_east:692341.83_north:1473492.4,mass_east:692364.7132_north:1470367.143,mass_east:692531.9473_north:1470074.692,mass_east:692553.9683_north:1470044.157,mass_east:692556.9148_north:1474042.065,mass_east:692614.89_north:1473096.06,mass_east:692625.6287_north:1471812.114,mass_east:693237.55_north:1473027.71,mass_east:693307.83_north:1472882.83,mass_east:693883.83_north:1473125.85,mass_east:694377.36_north:1467140.62,mass_east:695371.19_north:1473577.85,mass_east:695655.19_north:1473710.47,mass_east:697897.37_north:1474135.59,mass_east:697934.47_north:1474070.69,mass_east:697994.98_north:1474063.94,mass_east:698119.03_north:1473992.05,mass_east:698174.92_north:1473965.36,mass_east:698193.14_north:1473787.02,mass_east:698366.88_north:1479093,mass_east:698388.54_north:1479093.16,mass_east:698414.01_north:1473663.84,mass_east:698421.15_north:1473650.61,mass_east:698637.1944_north:1479927.937,mass_east:699066.57_north:1473349.55,mass_east:699749.19_north:1478820.01,mass_east:700125.6119_north:1479352.578,mass_east:700383.6161_north:1472828.366,mass_east:700534.2473_north:1465200.142,mass_east:700608.11_north:1479002.79,mass_east:700951.9146_north:1479457.732,mass_east:701230.3042_north:1473607.164,mass_east:701236.78_north:1475734.54,mass_east:701403.2659_north:1474089.033,mass_east:701447.5679_north:1478796.18,mass_east:701979.8903_north:1474231.631,mass_east:702055.6754_north:1478553.709,mass_east:702329.8068_north:1477485.218,mass_east:702331.1537_north:1477050.524,mass_east:702349.4475_north:1472091.164,mass_east:702379.37_north:1474878.73,mass_east:702482.643_north:1470462.43,mass_east:702518.8983_north:1470461.695,mass_east:702524.6997_north:1464702.711,mass_east:702558.411_north:1475908.563,mass_east:702689.9009_north:1472997.564,mass_east:702691.3487_north:1464877.287,mass_east:702854.5674_north:1467466.96,mass_east:702936.0558_north:1474386.983,mass_east:703169.6307_north:1473542.173,mass_east:703507.349_north:1474766.077,mass_east:703540.6353_north:1472478.642,mass_east:703626.6524_north:1470324.906,mass_east:703634.9476_north:1470325.699,mass_east:703737.2128_north:1469459.118,mass_east:703741.109_north:1468505.821,mass_east:703894.7541_north:1465612.15,mass_east:703963.5297_north:1471311.749,mass_east:703986.7135_north:1466887.458,mass_east:703990.7543_north:1467265.652,mass_east:866800_north:1475343,mass_east:869966.27_north:1447717.22
0,4.63826,7.48724,14.5307,17.3206,18.2607,16.1519,8.638,7.33077,27.3317,16.2292,31.285,59.7617,62.0673,78.4763,76.6365,39.1572,84.3033,39.4853,36.1898,35.8622,90.8318,85.4941,64.7458,97.0318,95.973,114.309,13.4151,173.744,190.712,201.791,197.584,193.527,183.869,179.856,173.131,27.1595,27.0944,158.725,158.002,19.3507,129.541,25.892,20.2936,95.3469,8.08574,21.8865,17.8742,87.555,65.8162,83.8117,21.4276,72.4182,21.704,30.3865,35.1887,57.6822,61.0403,37.9597,37.784,7.2371,47.292,60.5581,7.554,15.1045,56.5844,55.3502,47.3019,47.7464,31.5646,31.535,24.9873,19.3225,8.94709,36.9891,12.343,13.6275,0.0123615,0.0119733
1,4.68576,7.51513,14.41,17.1257,18.0432,16.0499,8.70209,7.40416,26.9064,16.2248,30.8254,57.7462,59.9794,74.9891,73.4011,38.8073,80.233,39.139,36.0188,35.7084,85.9454,81.6196,63.0451,92.6225,91.8638,109.17,13.5563,168.558,185.503,200.246,196.416,192.802,183.974,180.271,173.504,25.4624,25.4129,159.711,158.982,18.0378,130.579,25.1072,19.6344,95.0521,7.88272,21.4526,17.4829,87.5571,66.7644,84.0761,21.2481,72.3566,21.6444,30.5121,35.3811,56.5269,61.0441,36.843,36.6689,7.01844,47.4478,59.6178,7.32024,14.5812,56.1529,54.5324,46.8566,46.6415,30.54,30.511,24.1238,18.6341,8.64087,35.8816,11.902,13.1376,0.0129939,0.0125546
3,4.96028,7.90973,15.0525,17.8291,18.7562,16.6488,9.10873,7.76972,27.5463,16.7551,31.2993,57.6354,59.6452,74.4524,72.7041,38.8426,79.7402,39.1596,36.17,35.8734,85.8935,80.4725,61.9491,90.624,89.6812,106.901,14.264,172.277,190.132,220.43,211.055,204.674,189.234,183.551,173.014,25.9485,25.9086,157.102,156.325,17.9237,129.642,25.8985,19.9508,96.5835,8.28052,21.785,17.5838,89.5774,67.7479,85.9679,21.3435,74.3832,21.6122,30.5845,35.5729,58.934,62.6472,38.4794,38.313,7.38253,48.2345,62.2582,7.69962,15.2847,58.2211,57.0759,48.6454,49.253,32.2882,32.2603,25.4962,19.6656,9.11684,38.1062,12.5648,13.873,0.0146771,0.0143959
5,4.9236,7.87039,14.9621,17.7011,18.6167,16.5723,9.07085,7.72933,27.2958,16.7108,31.0308,56.334,58.3276,72.2416,70.6859,38.5853,77.1725,38.9012,36.0004,35.7123,82.7881,78.1421,60.8936,88.0115,87.2211,103.618,14.2573,167.723,186.849,224.829,216.471,210.24,195.103,189.308,178.771,25.3607,25.3133,161.43,160.586,17.5292,130.92,24.8413,19.1487,96.0205,8.25105,20.8273,16.8156,87.6028,65.2392,83.6276,20.3605,71.8841,20.599,29.1658,33.9488,57.508,60.1456,37.8776,37.6985,7.30336,46.1,60.1623,7.61369,15.1215,55.7376,54.7276,46.2981,47.3346,31.4142,31.3843,24.8885,19.2684,8.96196,36.7305,12.3313,13.6063,0.0124098,0.0121926
6,4.88148,7.81322,15.0559,17.885,18.8273,16.6053,8.9045,7.56599,27.7749,16.5597,31.5484,58.9977,61.0517,76.5705,74.7124,38.8706,82.0954,39.1767,35.9864,35.6684,88.4764,82.745,62.9537,92.8887,91.7328,108.808,13.5046,167.305,182.314,208.054,199.822,194.449,181.308,176.488,166.885,26.6237,26.5722,153.196,152.487,18.3953,128.407,25.8958,19.9539,95.4069,7.89568,21.6114,17.4522,87.7089,66.245,83.9866,20.9968,72.0648,21.1379,29.6914,34.4758,56.7863,60.3888,37.0539,36.8821,7.06808,46.4801,59.7032,7.37411,14.6781,55.6749,54.3921,46.2246,46.7761,30.7908,30.762,24.3415,18.8067,8.72876,36.1303,12.0223,13.2698,0.0138131,0.0135702
7,4.82561,7.74736,14.8551,17.6179,18.5395,16.4403,8.94724,7.61898,27.2696,16.5676,31.0035,56.8602,58.846,73.2343,71.5672,38.6217,78.3719,38.9441,36.0284,35.7399,84.3469,79.2161,61.343,89.4432,88.6175,105.976,14.3837,173.978,193.141,224.278,215.603,209.129,194.185,188.615,178.931,26.6885,26.6427,162.599,161.809,18.5385,132.721,26.4827,20.5338,96.1359,8.31115,22.458,18.2114,88.373,68.5937,85.0871,22.1599,73.3711,22.5244,31.6855,36.6752,56.8596,62.2706,37.1696,36.9885,7.26501,48.8178,60.1173,7.56276,14.897,57.1348,55.1999,47.8651,46.9989,30.7113,30.6815,24.299,18.8298,8.81673,36.0615,12.0826,13.3179,0.0121364,0.0116814
8,4.8397,7.75083,14.9079,17.6992,18.6292,16.4589,8.86476,7.53436,27.4136,16.4425,31.0738,57.6963,59.5089,74.4745,72.4494,38.0575,79.8117,38.3473,35.3214,35.0202,86.4504,79.3981,60.5264,87.1712,85.8793,99.6529,13.5748,153.855,171.398,215.453,207.721,202.854,189.889,184.928,174.272,27.3191,27.2755,159.061,158.251,18.6068,130.616,26.9615,20.507,96.2216,7.77253,22.1463,17.6991,87.7414,65.6544,83.4977,21.0741,71.2362,20.8095,28.7684,33.3256,57.6838,58.9478,37.9052,37.7317,6.96945,44.77,59.9348,7.2844,14.8082,54.5143,53.9926,44.7491,47.1327,31.5239,31.4943,24.9114,19.173,8.71318,36.8036,12.128,13.4258,0.0112577,0.0113845
11,4.73867,7.61334,14.6755,17.4507,18.3778,16.2448,8.79939,7.49365,27.2085,16.3467,30.9921,58.0649,60.1542,75.5083,73.7342,38.6871,80.9843,39.0133,35.9523,35.6494,87.2502,81.9679,62.6906,93.0899,92.1781,111.032,14.0391,181.865,200.309,216.242,210.053,205.267,193.082,188.187,178.999,26.5055,26.4625,162.794,161.975,18.492,131.724,26.387,20.512,95.0039,8.48701,22.3979,18.2051,86.663,67.085,83.1945,22.0495,71.4779,22.3439,31.1467,35.935,56.0542,60.4993,37.1945,37.0109,7.51541,47.4926,58.7709,7.82539,15.2611,55.4498,53.7072,46.3719,46.0093,30.6798,30.649,24.4761,19.1334,9.12525,35.6287,12.4225,13.6584,0.0126032,0.0121652
13,4.77601,7.69708,14.7736,17.5314,18.4604,16.4452,8.90966,7.56913,27.3812,16.6272,31.318,57.6312,59.8748,74.3069,72.8809,39.3724,79.3406,39.7072,36.6298,36.3233,84.6496,81.0574,63.2143,92.238,91.5706,109.076,13.921,165.771,178.403,219.872,210.139,203.931,188.419,182.729,171.253,26.0924,26.0553,155.417,154.614,18.0803,128.047,26.1095,20.0899,94.5738,7.98603,21.8546,17.5988,86.2003,65.6538,82.389,21.1822,70.5976,21.2068,29.5446,34.1944,56.2582,59.1091,37.0578,36.877,7.06872,45.6365,58.7228,7.37157,14.7176,54.4277,53.2894,45.1048,46.0201,30.5831,30.5528,24.219,18.7393,8.68014,35.68,11.9634,13.2063,0.011093,0.0108854
15,4.83955,7.82849,15.3639,18.3061,19.2756,16.8606,8.88957,7.52657,28.3656,16.7179,32.0839,59.4706,61.3826,76.4095,74.5795,39.2783,81.7267,39.5847,36.4108,36.095,87.8929,82.2818,63.0123,92.2359,91.143,108.423,13.8577,171.886,188.938,213.432,204.954,199.161,185.054,179.786,169.577,26.0193,25.9799,154.07,153.284,17.8774,125.962,26.0067,20.0177,92.6658,7.92536,21.8796,17.6429,85.638,66.421,82.3874,21.414,71.0802,21.6189,30.3413,35.1374,55.8276,60.0973,36.6432,36.4723,6.99257,46.8379,58.7835,7.29138,14.5658,55.2882,53.7842,46.1384,46.1876,30.444,30.4155,24.0853,18.611,8.59403,35.7005,11.8641,13.1038,0.011684,0.0114546
