iteration,total_runs,obs_realization,par_realization,obgnme
0,1000,0,0,10245.5
0,1000,1,1,9719.61
0,1000,2,2,10714.3
0,1000,3,3,9143.5
0,1000,4,4,10710.6
0,1000,5,5,10284.2
0,1000,6,6,8542.25
0,1000,7,7,46549.9
0,1000,8,8,7472.14
0,1000,9,9,5462.92
0,1000,10,10,10527.7
0,1000,11,11,14005.7
0,1000,12,12,10590.2
0,1000,13,13,10173.4
0,1000,14,14,10240
0,1000,15,15,7645.57
0,1000,16,16,9456.67
0,1000,17,17,31486.8
0,1000,18,18,7716.29
0,1000,19,19,10280.4
0,1000,20,20,9410.84
0,1000,21,21,10529.3
0,1000,22,22,14228.3
0,1000,23,23,10332.4
0,1000,25,25,10773.6
0,1000,26,26,9310.9
0,1000,27,27,10851.9
0,1000,28,28,10110.6
0,1000,29,29,9877.76
0,1000,30,30,7935.82
0,1000,31,31,9537.54
0,1000,32,32,10377.8
0,1000,33,33,30218.8
0,1000,34,34,9844.55
0,1000,35,35,72733
0,1000,36,36,3500.47
0,1000,37,37,10589.6
0,1000,38,38,10414.6
0,1000,39,39,8108.99
0,1000,40,40,10648
0,1000,41,41,49522
0,1000,42,42,27831.9
0,1000,43,43,8570.56
0,1000,44,44,28273.9
0,1000,45,45,9294.47
0,1000,46,46,15768.4
0,1000,47,47,8382.48
0,1000,48,48,10012.8
0,1000,49,49,31791.4
0,1000,50,50,8331.08
0,1000,51,51,13418.4
0,1000,52,52,7260.98
0,1000,54,54,3668.02
0,1000,55,55,6599.24
0,1000,56,56,16913.7
0,1000,57,57,8796.27
0,1000,58,58,10393.4
0,1000,59,59,9550.59
0,1000,60,60,10306.8
0,1000,61,61,7653.98
0,1000,62,62,7355.22
0,1000,63,63,10350.9
0,1000,64,64,9397.04
0,1000,65,65,10784.3
0,1000,66,66,10340.2
0,1000,67,67,13721.5
0,1000,68,68,10479.3
0,1000,69,69,8685.2
0,1000,70,70,4947.72
0,1000,72,72,8667.56
0,1000,73,73,4316.9
0,1000,74,74,10758.5
0,1000,75,75,8496.75
0,1000,76,76,20030.5
