real_name,beta,diffusion_coefficient,eruption_mass,fall_time_threshold,median_grainsize,plume_height,std_grainsize,wind0_height:10974.0_dir,wind0_height:10974.0_vel,wind0_height:112.0_dir,wind0_height:112.0_vel,wind0_height:12456.0_dir,wind0_height:12456.0_vel,wind0_height:14262.0_dir,wind0_height:14262.0_vel,wind0_height:1525.0_dir,wind0_height:1525.0_vel,wind0_height:16622.0_dir,wind0_height:16622.0_vel,wind0_height:18640.0_dir,wind0_height:18640.0_vel,wind0_height:20616.0_dir,wind0_height:20616.0_vel,wind0_height:23814.0_dir,wind0_height:23814.0_vel,wind0_height:26442.0_dir,wind0_height:26442.0_vel,wind0_height:3163.0_dir,wind0_height:3163.0_vel,wind0_height:4432.0_dir,wind0_height:4432.0_vel,wind0_height:5882.0_dir,wind0_height:5882.0_vel,wind0_height:7604.0_dir,wind0_height:7604.0_vel,wind0_height:796.0_dir,wind0_height:796.0_vel,wind0_height:9708.0_dir,wind0_height:9708.0_vel
0,0.215488,1356.06,1.89872e+10,964.661,0.162514,13692.6,2.451,32.6256,63.4875,-48.3291,225.857,23.3975,65.6593,15.0631,73.8399,1.56751,284.709,46.0745,91.0836,5.69447,65.2924,3.21933,72.605,47.5062,273.515,37.4992,243.593,36.5315,327.038,-5.69565,19.6124,-0.685212,69.2187,-14.5814,104.122,-34.5188,240.396,29.6472,73.5124
1,0.223068,1383.63,1.87214e+10,938.503,0.331144,14340,2.81362,36.6379,66.0195,-8.5231,232.498,32.3267,80.9863,6.11385,98.7108,37.3054,366.577,28.0144,102.906,-47.9369,96.3028,0.827559,85.2063,-37.3224,203.323,-5.12488,299.053,-35.3079,340.298,10.0158,20.0588,59.7419,73.5197,-34.5245,84.5908,30.4351,327.353,-0.517471,49.422
4,0.253786,1130.24,2.00535e+10,804.597,-0.237361,13537.3,2.65873,63.0961,44.7255,9.67064,251.813,9.68673,57.4818,-6.98032,72.1886,-66.9639,345.594,55.3518,118.189,-15.9482,102.217,8.31021,80.8779,18.2191,331.009,-36.6627,298.302,73.9068,367.411,26.133,20.5798,14.7375,94.7999,-46.943,104.651,3.19941,360.932,63.1008,57.0073
5,0.280236,1638.35,2.58095e+10,829.21,0.589239,14010.6,2.40524,24.6965,60.285,22.0457,293.817,20.7144,55.9721,-30.5953,79.7412,0.991924,314.125,-10.5707,85.5697,-20.336,98.4237,-11.3925,90.0785,-1.91356,267.668,33.2527,231.279,4.66219,311.748,-1.02782,17.6978,-5.78386,98.5033,4.78714,89.8468,-23.9979,324.09,52.1171,45.6759
6,0.29571,1666.96,1.49426e+10,1009.93,0.125284,14618.9,2.78786,-11.5348,59.4529,-34.6027,310.6,45.4492,57.7714,16.5876,74.4826,-36.9081,223.091,-31.4474,56.8815,58.3064,93.8921,41.2233,77.5019,-23.6057,239.823,-23.4111,267.689,13.707,300.589,10.7259,14.9165,-4.14736,72.9967,-21.7198,95.0462,1.25843,303.376,36.7174,60.4793
8,0.199001,826.233,2.89592e+10,895.206,-0.510392,13173.5,2.42787,24.6299,64.5398,-5.71662,303.998,56.8994,52.0966,21.9552,66.7315,-14.6077,252.64,57.7522,92.4046,-6.03478,90.2149,25.5102,108.068,-10.932,279.455,15.6991,244.874,-11.5269,336.798,19.2977,17.8804,6.63708,82.556,0.141602,97.8388,-1.96304,324.303,-1.45397,51.7499
9,0.307872,1939.02,2.58212e+10,867.76,-0.0852477,13892.1,1.86241,55.6718,60.3932,10.5912,178.479,1.72113,74.6734,9.30039,92.0322,32.7481,353.744,6.14352,75.6305,27.4101,75.7414,-59.3607,93.9024,-13.4248,268.832,40.1369,344.249,-26.1614,387.49,-35.8996,21.0076,5.4469,96.7627,29.7212,95.6153,-16.518,269.854,0.779931,52.9167
10,0.376612,1036.75,2.81329e+10,866.003,-0.419571,13369.7,2.75438,-6.73126,48.9873,-3.25041,240.395,4.93668,57.3576,-22.0992,73.9927,-19.1227,304.769,-5.01075,84.636,3.80112,92.5335,-30.8837,95.6792,-0.522719,306.047,32.7948,294.879,-27.8102,371.382,-1.51392,16.3096,-32.2834,56.1264,-35.007,88.0008,-37.2587,256.935,-34.1472,47.8807
11,0.417968,766.576,1.67417e+10,806.157,0.609723,12296.3,2.13174,22.6189,58.4777,-29.3182,220.41,15.6209,67.44,25.2665,53.4737,49.9869,379.456,49.9251,64.0227,-14.4811,102.461,9.22188,93.37,53.1826,240.236,34.8501,240.293,-71.3344,301.898,-64.0653,16.7652,52.6884,65.6689,-28.808,80.9184,36.7273,308.027,25.6337,57.6189
12,0.299275,2269.3,4.46932e+10,731.063,-0.190323,13449.6,2.40953,55.122,71.3788,30.4917,290.484,10.025,68.8814,39.9616,60.6593,-21.3371,364.493,32.6743,83.1118,15.7097,110.591,17.2441,85.9587,-25.6368,292.962,38.2726,303.372,43.1407,332.777,7.22411,22.3253,-14.3754,93.1879,19.3001,69.2076,-2.35446,262.796,78.2902,54.3278
13,0.401506,1561.81,1.83043e+10,794.959,-0.232226,13223.5,2.13628,-35.8877,55.9699,21.8588,226.873,45.4606,62.4554,37.9002,64.1266,-27.7742,284.705,67.8958,85.9203,33.4842,92.9125,-12.1979,86.1927,-50.7151,315.439,49.8404,341.641,14.7355,353.355,24.8515,18.0617,37.0162,69.9651,6.35475,87.7352,21.9233,285.61,3.35573,65.8676
14,0.226138,1172.4,1.96232e+10,701.712,0.478782,14497.7,2.18536,43.5631,70.8678,29.9645,247.316,0.320102,61.9125,29.6761,89.3808,22.9282,375.018,-34.3608,89.3702,-41.8498,89.1567,-3.21249,71.6818,10.2757,291.659,32.3284,179.614,-25.9348,436.335,-20.4434,17.3819,-12.4223,72.1879,32.7966,103.412,-17.7952,262.343,46.668,67.3734
15,0.443922,2653.25,2.45776e+10,860.442,-0.406536,13979.9,2.8937,-45.6157,78.0845,-24.0986,244.57,26.0311,55.5501,83.3591,57.372,-9.18884,322.71,-7.72687,90.6109,45.1993,80.8481,10.536,79.4483,-5.34943,228.975,23.5808,294.886,-0.611376,346.245,-3.07394,15.821,-9.24865,78.3422,69.6919,104.811,20.3946,330.15,31.034,60.961
16,0.346811,1852.36,2.20413e+10,977.978,0.240962,13661.4,2.46132,25.5097,48.4527,10.4555,228.867,6.83482,54.4616,31.0414,85.1861,-7.18241,278.715,-22.8922,103.204,13.265,89.6744,2.02699,108.227,32.2204,245.713,60.2715,218.059,-2.73811,289.844,38.4569,22.2679,2.43381,62.0171,-14.5018,96.0224,9.91235,282.397,18.9211,45.1462
