iteration,total_runs,obs_realization,par_realization,obgnme
0,1000,0,0,10128.5
0,1000,1,1,16342.9
0,1000,2,2,6240.17
0,1000,3,3,13631.8
0,1000,6,6,19604.3
0,1000,7,7,8510.66
0,1000,8,8,9825.63
0,1000,10,10,8329
0,1000,12,12,14053.7
0,1000,13,13,10334.4
0,1000,14,14,10279.2
0,1000,15,15,36017.5
0,1000,16,16,31002.2
0,1000,17,17,10653.6
0,1000,18,18,10159.8
0,1000,19,19,8691.82
0,1000,20,20,22225.3
0,1000,21,21,14724.4
0,1000,22,22,16728.4
0,1000,23,23,48959.7
0,1000,24,24,7711.48
0,1000,25,25,10812.4
0,1000,26,26,44103.9
0,1000,27,27,10353.9
0,1000,28,28,11964.9
0,1000,29,29,9582.25
0,1000,30,30,42562.5
0,1000,31,31,13079.5
0,1000,32,32,21578
0,1000,33,33,10372.7
0,1000,34,34,6895.96
0,1000,35,35,14087.9
0,1000,36,36,28034.9
0,1000,37,37,108359
0,1000,38,38,11180
0,1000,39,39,40086.9
0,1000,40,40,10401.6
0,1000,41,41,15429.9
0,1000,44,44,10934.4
0,1000,45,45,8364.82
0,1000,46,46,13221.5
0,1000,47,47,9769.39
0,1000,48,48,19204.4
0,1000,49,49,11504.9
0,1000,50,50,10726.3
0,1000,51,51,23024
0,1000,52,52,10266.3
0,1000,54,54,33847.2
0,1000,55,55,37053.7
0,1000,56,56,9704.93
0,1000,57,57,37692.7
0,1000,58,58,20262.3
0,1000,59,59,9919.81
0,1000,60,60,10383.1
0,1000,61,61,12421.4
0,1000,63,63,56772.5
0,1000,64,64,54392.9
0,1000,65,65,9799.88
0,1000,66,66,10815.2
0,1000,67,67,18455.2
0,1000,68,68,10105.4
0,1000,69,69,23142.8
0,1000,70,70,8260.91
0,1000,71,71,23604.5
0,1000,72,72,10107.3
0,1000,73,73,9088.46
0,1000,74,74,69677.2
0,1000,75,75,10246.4
0,1000,76,76,17452
0,1000,77,77,71678.7
0,1000,78,78,10161.9
0,1000,79,79,28770.6
0,1000,81,81,12406.6
0,1000,82,82,8785.63
0,1000,83,83,32263.3
0,1000,84,84,7502.66
0,1000,85,85,7304.78
0,1000,86,86,10079.9
0,1000,87,87,7125.66
0,1000,88,88,9070.49
0,1000,90,90,9971.89
0,1000,92,92,10094.3
0,1000,93,93,9390.28
0,1000,94,94,9180.63
0,1000,95,95,10556.5
0,1000,96,96,86799
0,1000,97,97,9096.79
0,1000,98,98,63132
0,1000,99,99,16457
0,1000,100,100,24618.4
0,1000,101,101,19742.6
0,1000,102,102,50385.7
0,1000,103,103,10267.1
0,1000,104,104,7981.58
0,1000,105,105,9795.96
0,1000,106,106,10904.8
0,1000,107,107,11828.3
0,1000,108,108,2545.82
0,1000,109,109,12858.8
0,1000,110,110,8093.64
0,1000,111,111,26685.3
0,1000,112,112,10632.5
0,1000,113,113,4746.01
0,1000,114,114,9095.95
0,1000,115,115,12721.9
0,1000,116,116,11533.9
0,1000,117,117,5550.67
0,1000,118,118,8192.93
0,1000,119,119,10409.5
0,1000,120,120,10278
0,1000,121,121,21941.2
0,1000,122,122,10145.2
0,1000,123,123,6065.02
0,1000,124,124,10063.9
0,1000,125,125,13134.7
0,1000,126,126,9733.96
0,1000,127,127,11019.5
0,1000,128,128,10344.4
0,1000,129,129,10124.7
0,1000,130,130,10218.2
0,1000,131,131,23103.8
