real_name,beta,diffusion_coefficient,eruption_mass,fall_time_threshold,median_grainsize,plume_height,std_grainsize,wind0_height:10974.0_dir,wind0_height:10974.0_vel,wind0_height:112.0_dir,wind0_height:112.0_vel,wind0_height:12456.0_dir,wind0_height:12456.0_vel,wind0_height:14262.0_dir,wind0_height:14262.0_vel,wind0_height:1525.0_dir,wind0_height:1525.0_vel,wind0_height:16622.0_dir,wind0_height:16622.0_vel,wind0_height:18640.0_dir,wind0_height:18640.0_vel,wind0_height:20616.0_dir,wind0_height:20616.0_vel,wind0_height:23814.0_dir,wind0_height:23814.0_vel,wind0_height:26442.0_dir,wind0_height:26442.0_vel,wind0_height:3163.0_dir,wind0_height:3163.0_vel,wind0_height:4432.0_dir,wind0_height:4432.0_vel,wind0_height:5882.0_dir,wind0_height:5882.0_vel,wind0_height:7604.0_dir,wind0_height:7604.0_vel,wind0_height:796.0_dir,wind0_height:796.0_vel,wind0_height:9708.0_dir,wind0_height:9708.0_vel
0,0.178813,1497.43,1.90204e+10,990.903,1.43248,13807.9,2.45592,17.277,62.2279,-60.0551,225.262,14.0922,68.2023,24.5524,74.4189,28.4793,265.622,48.4052,93.411,14.1471,65.5324,2.71854,71.9113,46.6083,271.625,38.7918,250.933,46.8312,308.912,-2.39937,20.1514,-3.72765,69.6344,-20.7123,102.46,-42.9725,236.348,41.2336,74.7037
1,0.206586,1400.03,1.57361e+10,936.68,1.65132,14693.8,2.81402,52.4377,66.2266,-4.43625,228.139,32.5602,83.4082,9.1687,97.4262,59.1654,383.549,33.0668,105.77,-50.2305,98.6769,-14.4906,83.2489,-45.9522,193.907,-10.6214,299.761,-32.0372,327.471,15.2404,20.5185,68.9101,72.3745,-37.4533,86.0116,43.4632,316.473,6.42001,50.3265
2,0.314221,2671.85,1.92144e+10,907.388,1.58704,13440.2,1.77233,27.1847,51.6746,-10.1402,272.267,33.9842,62.584,-3.62487,75.9886,-19.2508,364.674,27.5616,92.7203,6.35638,73.1708,-18.3583,67.7078,78.0061,243.48,32.6888,262.985,-67.4548,328.317,-14.3926,14.0611,-43.238,70.7395,0.509624,101.622,-33.2392,253.83,-27.2395,48.7908
3,0.307473,573.875,2.58227e+10,770.407,1.36959,12843.5,2.33419,15.2496,61.1892,-42.5891,192.28,18.2951,66.3998,-5.28923,88.0988,4.14217,260.378,-22.7199,86.658,-34.3168,114.699,59.5802,88.714,-19.4911,299.051,53.7763,389.732,-28.9475,330.714,37.696,14.2266,-71.8458,70.061,3.97774,108.836,43.8531,261.717,-9.68928,55.8219
4,0.229782,1167.13,1.70338e+10,792.986,1.03781,13683.1,2.59267,60.4957,43.0532,1.68301,252.935,12.3852,59.5723,-4.28872,71.6729,-72.0775,338.712,54.0684,120.239,-18.1595,104.256,9.89415,77.222,12.73,331.927,-43.1887,294.754,91.774,365.361,40.0839,21.267,14.1015,97.9803,-46.1922,102.182,8.89313,355.887,76.8123,57.4048
5,0.255747,1703.57,2.1553e+10,832.482,2,14098,2.40998,24.5068,60.9644,26.2732,301.579,27.6665,49.4893,-40.7435,79.5282,13.6615,284.992,-17.1253,89.0507,-22.3181,98.927,-11.1522,91.0243,5.08672,270.934,41.4106,224.512,24.8046,305.729,-5.5216,17.7364,-17.8892,107.247,4.39802,93.0165,-16.2934,335.062,86.597,46.5881
6,0.252582,2144.05,1.29119e+10,1041.12,1.45141,14780.4,2.67725,-12.6083,56.3134,-38.4018,316.295,50.4358,55.1617,25.011,73.8431,-33.4575,219.293,-43.3705,55.2953,67.5432,99.0677,40.0785,75.369,-26.031,239.067,-29.2351,264.08,25.3125,293.622,25.1104,15.2771,-2.19372,69.9003,-27.072,95.7651,-1.84535,309.935,49.8699,61.4987
7,0.294894,2966.71,4.08905e+10,985.29,-0.0416907,13856.8,2.13748,29.8273,75.4698,16.0846,321.08,-21.5236,54.9039,-59.5793,64.5155,-59.4625,345.704,-9.64832,95.539,22.0016,100.33,48.3472,99.5029,-8.43602,257.428,-13.1383,289.889,-50.1707,304.24,-27.7404,18.4494,15.7102,76.907,21.9336,114.965,-17.6329,218.049,8.47194,57.7148
8,0.12421,833.495,3.95841e+10,880.662,0.221815,12913,2.37202,15.1377,67.5726,-29.9745,316.515,60.4147,46.673,39.8297,62.7258,-7.22243,227.283,84.6579,88.0383,-7.65415,95.8257,39.7711,117.902,-17.0136,289.531,12.2924,207.725,-1.29714,328.776,34.092,17.9229,-14.2715,87.1955,-7.71294,102.686,-11.5054,319.349,-32.3151,48.1255
9,0.283357,2020.24,2.49065e+10,892.201,1.09536,13908.4,1.87035,49.4884,63.6618,4.77251,163.596,5.48196,74.7562,5.40942,92.4623,42.9239,352.383,13.5065,74.7286,29.2792,78.2512,-73.3947,100.072,-15.0468,266.817,47.4962,351.929,-27.6662,381.606,-48.016,21.7605,-6.31638,101.375,35.4116,94.8919,-12.6811,257.794,0.277875,52.0735
